"section.id";"recording.id";"fixation.id";"start.timestamp..ns.";"end.timestamp..ns.";"duration..ms.";"fixation.x..px.";"fixation.y..px.";"azimuth..deg.";"elevation..deg."
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";46;1702041840993435136;1702041841801460992;808;598.557;847.298;4.27626592104363;-23.0583308516187
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";47;1702041841869280000;1702041842233597952;364;677.252;609.863;9.96857251926994;-5.20639846283791
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";48;1702041842297506048;1702041842457435136;159;583.13;868.969;3.07881600570049;-24.7021135788702
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";49;1702041842529302016;1702041842737445888;208;788.103;712.476;18.5745077797198;-12.7231081141552
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";50;1702041842913496064;1702041843093445120;179;568.852;728.332;1.84951233161022;-14.1259990352798
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";51;1702041843125430016;1702041843405579008;280;631.005;683.042;6.5497870536877;-10.7039563937482
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";52;1702041843466115072;1702041844285292032;819;621.36;874.852;6.15655094536594;-25.1142343458974
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";53;1702041844345293056;1702041844757463040;412;658.463;639.859;8.58089438193155;-7.45687776836523
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";54;1702041844833585920;1702041845281794048;448;615.368;863.356;5.6475495027888;-24.2539565065907
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";55;1702041845357424896;1702041845617469952;260;825.221;714.617;21.4205458353466;-12.812497903356
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";56;1702041845681477888;1702041845889304064;207;566.672;676.586;1.6660817599512;-10.2405781428951
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";57;1702041845917421056;1702041846077444096;160;581.855;643.534;2.80412437577148;-7.75714016824715
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";58;1702041846157412096;1702041846377491968;220;609.628;867.059;5.19699771583897;-24.5385207630542
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";59;1702041846449433088;1702041846789275136;339;809.89;680.224;20.1192614549693;-10.3100237880385
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";60;1702041846845319936;1702041847401475072;556;619.125;635.611;5.61128182632145;-7.15408196899047
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";61;1702041847473531136;1702041849837416960;2363;631.626;842.407;6.88852403318952;-22.6595650244995
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";62;1702041849877410048;1702041850009337088;131;596.172;829.146;4.0589569579473;-21.6931240892579
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";63;1702041850097377024;1702041850349466112;252;660.296;655.677;8.73635832329175;-8.63905531908848
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";64;1702041850417383936;1702041851181309952;763;617.387;832.544;5.73887959308294;-21.9322892241979
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";65;1702041851301382912;1702041851509435136;208;606.706;438.744;4.67707101907798;7.60308613252565
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";66;1702041851577428992;1702041851729422080;151;758.961;526.694;16.0691788110078;0.996110532449778
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";67;1702041851865485056;1702041852029406976;163;799.922;554.376;19.1441533020089;-1.04988267653621
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";68;1702041852157321984;1702041852337437952;180;597.803;818.648;4.1719638598031;-20.9021460008947
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";69;1702041852417378048;1702041852781459968;364;651.555;590.311;8.02531472127491;-3.75227694657279
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";70;1702041852841467904;1702041853481317888;639;618.577;781.778;5.73535510599458;-18.1165655282804
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";71;1702041853541287936;1702041854109315072;568;670.92;633.677;9.51379145592147;-6.98855349121085
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";72;1702041854177441024;1702041854325287936;147;590.766;837.876;3.64450677866091;-22.353731348929
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";73;1702041854389438976;1702041854541390080;151;770.717;707.504;17.2295514621896;-12.3838677178729
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";74;1702041854593412096;1702041855025306112;431;634.825;609.465;6.77792817462531;-5.19036842084508
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";75;1702041855089350912;1702041855765391104;676;610.794;809.779;5.17672867403093;-20.2260106834142
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";76;1702041855825307904;1702041856257402112;432;677.515;601.715;9.98211116179756;-4.59767809961378
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";77;1702041856337389056;1702041856809349888;471;632.263;839.665;6.93170113229686;-22.4526068835519
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";78;1702041856861414912;1702041857261324032;399;622.6;609.938;5.85889709428198;-5.22881897964751
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";79;1702041857337492992;1702041860401377024;3063;652.947;790.421;8.42520968343181;-18.7319437226482
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";80;1702041860461286912;1702041860821389056;360;649.606;701.564;7.98763728478794;-12.0797169402457
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";81;1702041860861617920;1702041861053732096;192;607.005;757.409;4.80439652298695;-16.2949363914971
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";82;1702041861101765120;1702041861397378048;295;615.025;858.439;5.60874433125677;-23.8837809756675
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";83;1702041861433672960;1702041861725327104;291;607.95;797.225;4.93373010840916;-19.2846372381099
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";84;1702041861757723136;1702041862193477120;435;558.541;712.406;1.05648751806957;-12.931330231128
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";85;1702041862269425920;1702041862525307136;255;809.805;708.845;20.2177873533004;-12.417069315545
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";86;1702041862705280000;1702041863893369088;1188;681.119;891.459;11.0376406414663;-26.2708602783372
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";87;1702041863937453056;1702041864166324992;228;560.213;790.092;1.20776153176918;-18.7689622180957
