section id,recording id,recording name,wearer id,wearer name,section start time [ns],section end time [ns],start event name,end event name,id ,condition ,episode
aa3e92c2-24bd-49f9-b0ea-2c049f228894,6ffb6b1c-9123-44ec-b2a7-82c5ce7666e7,Study017,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,18,L2,4
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,Study029,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,15,L2,4
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,Study016,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,3,L1,1
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,Study008,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,6,H1,1
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,Study015,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,3,L2,2
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,Study009,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,16,H2,4
2bfc6252-7423-4ede-aa68-1e392ff46101,311f2727-630c-4284-bb5b-f929bef45418,Study006,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,6,L1,3
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,Study002,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,5,L1,3
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,Study031,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,15,H2,2
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,Study010,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,16,H1,3
e5768c16-de52-460d-8bc2-53ee893ae3f3,70551745-00d9-4c4e-9cec-353b4400b5c9,Study011,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,16,L2,2
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,Study014,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,3,H1,3
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,Study005,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,6,L2,4
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,Study007,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,6,H2,2
